id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android
2876071,Void Fishing,Adwai,https://adwai.itch.io/void-fishing,https://itch.io/jam/michigame-jam-2024/rate/2876071,,0,0,0,,,,
2876070,Avoidance,SCarts,https://scarts.itch.io/avoidance,https://itch.io/jam/michigame-jam-2024/rate/2876070,,0,0,1,,,,
2876068,Null and Void,piotrasz,https://piotrasz.itch.io/null-and-void,https://itch.io/jam/michigame-jam-2024/rate/2876068,,0,0,1,true,,,
2876051,Sweet Nothingness,ToffeeN'Tea,https://toffeentea.itch.io/sweet-nothingness,https://itch.io/jam/michigame-jam-2024/rate/2876051,,0,0,1,,,,
2876025,Space Attorney,TesseractCat,https://tesseractcat.itch.io/space-attorney,https://itch.io/jam/michigame-jam-2024/rate/2876025,,0,0,2,,,,
2876014,A/Chromatic,FaeJackalope,https://faejackalope.itch.io/achromatic,https://itch.io/jam/michigame-jam-2024/rate/2876014,,0,0,1,true,true,,
2875977,Shapetraction,Langstonian,https://langstonian.itch.io/shapetraction,https://itch.io/jam/michigame-jam-2024/rate/2875977,,0,0,4,true,,,
2875949,Lumis and Nox,NotReallyCraig,https://kotoman.itch.io/lumis-and-nox,https://itch.io/jam/michigame-jam-2024/rate/2875949,,0,0,4,true,true,,
2875630,Cave Things,MiniSterben,https://ministerben.itch.io/cave-things,https://itch.io/jam/michigame-jam-2024/rate/2875630,,0,0,5,,,,
2874930,Void Hopper,davidcat6507,https://davidcat6507.itch.io/void-hopper,https://itch.io/jam/michigame-jam-2024/rate/2874930,,0,0,2,,,,
2874787,Blight Speed,Vivek Kilari,https://kilarivi.itch.io/blight-speed,https://itch.io/jam/michigame-jam-2024/rate/2874787,,0,0,1,true,true,,
2872468,Voidmaker,frausnic,https://frausnic.itch.io/voidmaker,https://itch.io/jam/michigame-jam-2024/rate/2872468,,0,0,3,,,,
2871497,Echoes in the Void,DreiCreates,https://dreicreates.itch.io/echoes-in-the-void,https://itch.io/jam/michigame-jam-2024/rate/2871497,,0,0,0,,,,